time_s,current_A,voltage_V,temperature_C,phase,window
0.0,0,0.124522,25.00,rest,
10.0,0,0.124350,25.00,rest,
20.0,0,0.123397,25.00,rest,
30.0,0,0.124120,25.00,rest,
40.0,0,0.124059,25.00,rest,
50.0,0,0.124466,25.00,rest,
60.0,0,0.124578,25.00,rest,
70.0,0,0.124870,25.00,rest,
80.0,0,0.124611,25.00,rest,
90.0,0,0.124506,25.00,rest,
100.0,0,0.124176,25.00,rest,
110.0,0,0.124354,25.00,rest,
120.0,0,0.124089,25.00,rest,
130.0,0,0.124437,25.00,rest,
140.0,0,0.124414,25.00,rest,
150.0,0,0.124672,25.00,rest,
160.0,0,0.124576,25.00,rest,
170.0,0,0.124687,25.00,rest,
180.0,0,0.124974,25.00,rest,
190.0,0,0.124507,25.00,rest,
200.0,0,0.124114,25.00,rest,
210.0,0,0.123768,25.00,rest,
220.0,0,0.124281,25.00,rest,
230.0,0,0.124310,25.00,rest,
240.0,0,0.124195,25.00,rest,
250.0,0,0.124004,25.00,rest,
260.0,0,0.124576,25.00,rest,
270.0,0,0.124630,25.00,rest,
280.0,0,0.124430,25.00,rest,
290.0,0,0.124328,25.00,rest,
300.0,0,0.124281,25.00,rest,
310.0,0,0.123958,25.00,rest,
320.0,0,0.124572,25.00,rest,
330.0,0,0.124540,25.00,rest,
340.0,0,0.124359,25.00,rest,
350.0,0,0.124510,25.00,rest,
360.0,0,0.124247,25.00,rest,
370.0,0,0.124000,25.00,rest,
380.0,0,0.124601,25.00,rest,
390.0,0,0.124162,25.00,rest,
400.0,0,0.124156,25.00,rest,
410.0,0,0.124380,25.00,rest,
420.0,0,0.124618,25.00,rest,
430.0,0,0.124729,25.00,rest,
440.0,0,0.124990,25.00,rest,
450.0,0,0.123959,25.00,rest,
460.0,0,0.123966,25.00,rest,
470.0,0,0.124624,25.00,rest,
480.0,0,0.123945,25.00,rest,
490.0,0,0.124860,25.00,rest,
500.0,0,0.124822,25.00,rest,
510.0,0,0.124435,25.00,rest,
520.0,0,0.124180,25.00,rest,
530.0,0,0.124437,25.00,rest,
540.0,0,0.123643,25.00,rest,
550.0,0,0.124540,25.00,rest,
560.0,0,0.124533,25.00,rest,
570.0,0,0.124229,25.00,rest,
580.0,0,0.124556,25.00,rest,
590.0,0,0.124450,25.00,rest,
600.0,0.15625,0.105594,25.00,discharge,
610.0,0.15625,0.104936,25.00,discharge,
620.0,0.15625,0.105121,25.00,discharge,
630.0,0.15625,0.105580,25.00,discharge,
640.0,0.15625,0.105049,25.00,discharge,
650.0,0.15625,0.104973,25.00,discharge,
660.0,0.15625,0.105188,25.00,discharge,
670.0,0.15625,0.105272,25.00,discharge,
680.0,0.15625,0.104679,25.00,discharge,
690.0,0.15625,0.104559,25.00,discharge,
700.0,0.15625,0.104538,25.00,discharge,
710.0,0.15625,0.104112,25.00,discharge,
720.0,0.15625,0.103333,25.00,discharge,
730.0,0.15625,0.101020,25.00,discharge,
740.0,0.15625,0.099562,25.00,discharge,
750.0,0.15625,0.095681,25.00,discharge,
760.0,0.15625,0.091691,25.00,discharge,
770.0,0.15625,0.087691,25.00,discharge,
780.0,0.15625,0.082592,25.00,discharge,
790.0,0.15625,0.078126,25.00,discharge,
800.0,0.15625,0.074180,25.00,discharge,
